Token,Weight
=C1,0.004437002269149468
c1ccc2nc(,0.004408382823798793
CC1=,0.004387940912162552
C=C(,0.004373420480965012
CCC(=O),0.004367272832710387
(C,0.004367196550870717
CN3,0.004360560830710792
CNC(=O),0.0043088343851244
c2cccc3c2,0.004288928321549729
c1C),0.004245153968632386
O)cc1,0.004179239974411062
(CC,0.004159801888775501
N),0.0041330864828515905
[nH]3),0.004090267175857062
CCC[C@H](,0.004082195963608981
nn3),0.004053458880941214
N2CCC(,0.004028027308957594
c2cccc(F),0.004006114117082766
[C@@H]4,0.003978383630736887
C4),0.003968601501811714
CC(=O)N,0.003965577643743326
C4,0.003940885070994159
O3),0.0039137164230061755
CC2(,0.0039055810744204893
nc4,0.003876926311932648
CN(C,0.003863565460200333
CCN(C,0.0038508654472054985
n2cc(,0.003834371826175293
c1ccc(-,0.0038184769155152286
CC(=O)N(,0.003804822130618434
Br),0.003787396844771122
